04-29-2025 23:12:48.430,-,API,"White Antenna,0013A20041067F53,XBee PRO 900HP 10K,1075,COM11 - 9600/8/N/1/N,8,35"
04-29-2025 23:10:47.232,17,RECV,7E0086900013A2004182CCB2FFFE42322C342C31382C34312C32322C3635373834362C312E33362C2D312E37332C392E35382C2D302E32372C2D302E34362C302E30302C312E36342C2D312E32372C392E35382C2D302E30362C2D302E30392C302E31302C302E39392C332E39342C31332E31332C342E32352D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A50
04-29-2025 23:10:47.807,18,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C32322C3835353836352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E37382C32342E34352C3130323035332E36382C2D2C2D2C2D2C2D2C2D0AAE
04-29-2025 23:10:48.191,19,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C32332C3430383232302C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0ABE
04-29-2025 23:10:48.895,20,RECV,7E0087900013A2004182CCB2FFFE42322C342C31382C34312C32342C3734383836342C302E34382C2D312E32352C392E36322C2D302E30392C302E30302C2D302E30382C302E35382C2D312E32342C392E37302C2D302E30362C2D302E30332C302E30362C312E30302C2D302E35302C2D322E33372C302E31332D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A52
04-29-2025 23:10:49.658,21,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C32352C3438383836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AA8
04-29-2025 23:10:50.298,22,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C32352C3634313835302C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E37392C32342E34342C3130323035332E34352C2D2C2D2C2D2C2D2C2D0ABD
04-29-2025 23:10:51.067,23,RECV,7E0086900013A2004182CCB2FFFE42322C342C31382C34312C32352C3830303836342C302E37322C2D302E37302C392E34382C2D302E31372C302E30372C2D302E32352C302E39302C2D302E37372C392E37332C2D302E30342C2D302E30352C302E30382C302E39392C352E34342C2D332E37352C332E34342D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A59
04-29-2025 23:10:51.704,24,RECV,7E004A900013A2004182CCB2FFFE42322C342C31382C34312C32362C353836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0A16
04-29-2025 23:10:52.536,25,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C32382C3430373834372C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E39302C32342E34342C3130323035342E34372C2D2C2D2C2D2C2D2C2D0AB8
04-29-2025 23:10:53.049,26,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C32382C3539353836372C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AA1
04-29-2025 23:10:53.880,27,RECV,7E0083900013A2004182CCB2FFFE42322C342C31382C34312C32382C3936303832372C312E32382C302E35302C392E35302C302E31302C302E30342C2D302E32322C312E31382C302E34362C392E37322C302E30332C2D302E30362C302E30352C312E30302C342E30302C322E33372C2D32322E33372D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A09
04-29-2025 23:10:54.665,28,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C32382C3938353431332C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38382C32342E34342C3130323035342E36382C2D2C2D2C2D2C2D2C2D0AAE
04-29-2025 23:10:55.243,29,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C32392C3131323836392C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AAD
04-29-2025 23:10:56.250,30,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C33312C3737363834312C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E37392C32342E34342C3130323035332E32332C2D2C2D2C2D2C2D2C2D0ABB
04-29-2025 23:10:56.634,31,RECV,7E0089900013A2004182CCB2FFFE42322C342C31382C34312C33322C3130393836342C322E33332C2D302E31322C392E35352C302E34352C2D302E31392C2D302E30362C312E38382C302E30362C392E36322C2D302E30312C2D302E31302C2D302E30382C302E39392C2D31392E34342C2D33312E33372C332E35362D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0AD2
04-29-2025 23:10:57.339,32,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C33322C3232353836312C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AB6
04-29-2025 23:10:58.041,33,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C33322C3333313835312C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38352C32342E34342C3130323035342E30332C2D2C2D2C2D2C2D2C2D0ACA
04-29-2025 23:10:58.808,34,RECV,7E0088900013A2004182CCB2FFFE42322C342C31382C34312C33322C3633323836342C322E35352C2D302E34342C392E31372C2D302E30372C2D302E30382C2D302E31392C322E36332C2D302E33312C392E34342C2D302E30332C2D302E31332C2D302E30392C302E39392C342E35362C2D302E35302C332E33312D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A12
04-29-2025 23:10:59.385,35,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C33332C3737363836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AA9
04-29-2025 23:11:00.020,36,RECV,7E0086900013A2004182CCB2FFFE42322C342C31382C34312C33362C3330313836352C332E33332C302E30372C392E31352C302E30332C2D302E30352C2D302E30372C332E33302C302E31332C392E32332C2D302E30312C2D302E31372C2D302E30392C302E39382C372E38312C2D302E32352C2D332E32352D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A7F
04-29-2025 23:11:00.724,37,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C33362C3336343834382C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AA9
04-29-2025 23:11:01.428,38,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C33362C3735313833302C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E37342C32342E34342C3130323035332E33312C2D2C2D2C2D2C2D2C2D0AC5
04-29-2025 23:11:02.198,39,RECV,7E0084900013A2004182CCB2FFFE42322C342C31382C34312C33362C3832343836342C332E33322C302E33392C392E33302C2D302E30392C302E30342C302E31312C332E34312C302E33352C392E31382C302E30312C2D302E31382C2D302E30372C302E39382C2D302E33372C2D322E36322C322E39342D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0AC4
04-29-2025 23:11:02.841,40,RECV,7E004C900013A2004182CCB2FFFE42322C342C31382C34312C33362C3838313834382C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C562C2C2C2C0AA5
04-29-2025 23:11:03.483,41,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C33372C3330333833302C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E37382C32342E34342C3130323035322E36372C2D2C2D2C2D2C2D2C2D0ABF
04-29-2025 23:11:04.180,42,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34302C3438323836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393730332C4E2C30383232352E303138342C570A53
04-29-2025 23:11:04.967,43,RECV,7E0084900013A2004182CCB2FFFE42322C342C31382C34312C34302C3539363835392C332E39372C312E30302C392E32382C302E32352C2D302E32342C302E31342C332E37302C312E31382C392E30302C302E30342C2D302E32302C2D302E31322C302E39372C322E33312C2D332E38372C2D362E31392D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0ABE
04-29-2025 23:11:05.783,44,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34302C3730303836342C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38302C32342E34342C3130323035332E35362C2D2C2D2C2D2C2D2C2D0AC5
04-29-2025 23:11:06.567,45,RECV,7E005F900013A2004182CCB2FFFE42322C342C31382C34312C34312C323836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393730332C4E2C30383232352E303138342C570ABE
04-29-2025 23:11:07.253,46,RECV,7E0082900013A2004182CCB2FFFE42322C342C31382C34312C34312C3132303835312C332E36332C312E36362C382E38362C302E30382C302E32342C2D302E31362C332E35342C312E34322C392E30332C302E30352C2D302E31392C2D302E31322C302E39372C332E33312C332E30362C342E36392D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A1F
04-29-2025 23:11:08.018,47,RECV,7E0086900013A2004182CCB2FFFE42322C342C31382C34312C34332C3733393834372C332E30322C312E33352C392E31372C2D302E31352C2D302E30362C302E30302C332E31382C312E35302C392E31352C302E30362C2D302E31372C2D302E30392C302E39382C2D32332E31322C372E33372C31312E30302D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A67
04-29-2025 23:11:08.738,48,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34312C34342C31313836352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38342C32342E34342C3130323035332E30312C2D2C2D2C2D2C2D2C2D0AFB
04-29-2025 23:11:09.427,49,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34342C3130383836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393730332C4E2C30383232352E303138342C570A54
04-29-2025 23:11:10.400,50,RECV,7E0083900013A2004182CCB2FFFE42322C342C31382C34312C34342C3236343835392C332E30322C312E32352C392E31322C2D302E30342C302E30302C2D302E31302C332E30362C312E32362C392E32322C302E30352C2D302E31362C2D302E31302C302E39382C322E33372C322E35362C312E36322D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A09
04-29-2025 23:11:10.958,51,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34342C3536333836342C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E37372C32342E34342C3130323035332E32332C2D2C2D2C2D2C2D2C2D0ABA
04-29-2025 23:11:11.723,52,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34352C3636303836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393730332C4E2C30383232352E303138342C570A54
04-29-2025 23:11:12.297,53,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34372C3334323836342C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38342C32342E34352C3130323035332E36312C2D2C2D2C2D2C2D2C2D0ABB
04-29-2025 23:11:13.317,54,RECV,7E0083900013A2004182CCB2FFFE42322C342C31382C34312C34372C3430353836362C322E36302C302E38362C392E33372C2D302E31352C302E30312C302E30312C322E37362C302E38352C392E33362C302E30332C2D302E31352C2D302E31312C302E39382C2D312E31322C302E33372C302E38382D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0AEF
04-29-2025 23:11:13.909,55,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34372C3839343834382C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38372C32342E34352C3130323035342E31332C2D2C2D2C2D2C2D2C2D0AAC
04-29-2025 23:11:14.660,56,RECV,7E0084900013A2004182CCB2FFFE42322C342C31382C34312C34392C3530313834362C322E36392C312E35302C392E35352C302E31352C302E32382C302E31332C322E34362C312E31382C392E34312C302E30352C2D302E31332C2D302E30382C302E39392C2D322E38372C322E33312C2D31302E37352D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0AB2
04-29-2025 23:11:15.554,57,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C34392C3537313836332C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38322C32342E34372C3130323035332E39382C2D2C2D2C2D2C2D2C2D0AAC
04-29-2025 23:11:16.194,58,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35302C3331383836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393730392C4E2C30383232352E303139342C570A4D
04-29-2025 23:11:16.894,59,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35322C3930353831302C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393730392C4E2C30383232352E303139342C570A54
04-29-2025 23:11:17.600,60,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35322C3837373836352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38372C32342E34372C3130323035342E31332C2D2C2D2C2D2C2D2C2D0AAE
04-29-2025 23:11:18.369,61,RECV,7E0084900013A2004182CCB2FFFE42322C342C31382C34312C35332C3136363836352C322E39362C312E34302C392E32322C302E31322C302E34312C2D302E31312C322E38342C302E39382C392E33332C302E30352C2D302E31352C2D302E30312C302E39392C2D302E31392C322E30302C2D332E36322D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0ACB
04-29-2025 23:11:19.388,62,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35332C3432323836312C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393731362C4E2C30383232352E303230332C570A5E
04-29-2025 23:11:20.024,63,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35332C3434363835302C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38312C32342E34372C3130323035332E33302C2D2C2D2C2D2C2D2C2D0AC3
04-29-2025 23:11:20.531,64,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35352C3439323836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393731362C4E2C30383232352E303230332C570A54
04-29-2025 23:11:21.170,65,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35362C3231323835312C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E39312C32342E34372C3130323035342E39312C2D2C2D2C2D2C2D2C2D0ABF
04-29-2025 23:11:21.938,66,RECV,7E0081900013A2004182CCB2FFFE42322C342C31382C34312C35362C3330303836342C322E33332C302E39372C392E35332C302E30332C302E30322C302E30342C322E32392C302E39352C392E34382C302E30352C2D302E31322C2D302E30322C302E39392C312E34342C302E35362C312E36322D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A4F
04-29-2025 23:11:22.593,67,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35362C3532353836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393731362C4E2C30383232352E303230332C570A56
04-29-2025 23:11:23.218,68,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35392C3131343836352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393731362C4E2C30383232352E303230332C570A56
04-29-2025 23:11:23.923,69,RECV,7E0081900013A2004182CCB2FFFE42322C342C31382C34312C35392C3434313833392C322E35322C312E31392C392E33372C302E30342C302E33312C2D302E30362C322E34372C302E38382C392E34342C302E30352C2D302E31332C302E30332C302E39392C302E34342C302E35302C312E32352D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A49
04-29-2025 23:11:24.627,70,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35392C3534333836352C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38322C32342E34382C3130323035332E31372C2D2C2D2C2D2C2D2C2D0AB2
04-29-2025 23:11:25.392,71,RECV,7E0061900013A2004182CCB2FFFE42322C342C31382C34312C35392C3633303836362C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393731362C4E2C30383232352E303230332C570A52
04-29-2025 23:11:25.967,72,RECV,7E0082900013A2004182CCB2FFFE42322C342C31382C34312C35392C3937313834362C322E35382C312E35312C392E31302C302E30332C302E35352C2D302E33312C322E35352C302E39362C392E34312C302E30352C2D302E31332C302E30332C302E39392C312E38372C312E37352C2D302E39342D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0A0A
04-29-2025 23:11:26.688,73,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34322C312C3231363836332C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38342C32342E34392C3130323035342E30342C2D2C2D2C2D2C2D2C2D0AF3
04-29-2025 23:11:27.312,74,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34322C322C3734303836312C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393731362C4E2C30383232352E303230342C570A8F
04-29-2025 23:11:27.967,75,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34322C322C3837353834372C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E38362C32342E35302C3130323035332E35392C2D2C2D2C2D2C2D2C2D0AE2
04-29-2025 23:11:28.717,76,RECV,7E0084900013A2004182CCB2FFFE42322C342C31382C34322C332C3131373836342C322E32322C302E39362C392E34382C2D302E31392C2D302E32312C302E30352C322E34312C312E31372C392E34332C302E30362C2D302E31322C302E30322C302E39392C2D302E38382C2D312E37352C2D332E33312D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0ACA
04-29-2025 23:11:29.485,77,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34322C332C3235373836322C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C412C323830332E393731362C4E2C30383232352E303230342C570A8A
04-29-2025 23:11:29.998,78,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34322C342C3533333836332C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E39302C32342E35302C3130323035342E34342C2D2C2D2C2D2C2D2C2D0AF5
04-29-2025 23:11:30.589,79,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34322C362C3139313835372C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E39312C32342E35312C3130323035352E31322C2D2C2D2C2D2C2D2C2D0AF2
04-29-2025 23:11:31.277,80,RECV,7E007F900013A2004182CCB2FFFE42322C342C31382C34322C362C3235333836342C332E30342C322E35322C392E32322C302E33352C302E33332C302E30342C322E36392C322E31382C392E31372C302E31322C2D302E31342C302E30332C302E39382C312E33312C322E39342C312E33312D2C2D2C2D2C2D2C2D2C2D2C2D2C2D0AB3
04-29-2025 23:11:31.916,81,RECV,7E0060900013A2004182CCB2FFFE42322C342C31382C34322C362C3734333835302C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D2C2D39312E39322C32342E35322C3130323035342E32302C2D2C2D2C2D2C2D2C2D0AF6
